Id,Label,hh_size,head_age,landsalstat,weighted indegree,weighted outdegree,Weighted Degree,status,indegree,salaried,outdegree,Degree,land,wealth_total_val_usd,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality
BDSU001,,4,65,none,2,8,10,0,2,0,5,7,0,3103,7,0.226994,0.335071,0.036297,0.100818,0.155663,0.011123,0,18,0,0,0.02381,0.328177
BDSU002,,8,67,land,4,1,5,0,3,0,1,4,1,4224,8,0.192708,0.232175,0.040682,0.289399,0.001698,0.013674,0,18,0,0,0,0.852673
BDSU003,,4,30,landsal,1,1,2,0,1,1,1,2,1,2112,8,0.187793,0.225625,0.006494,0,0,0.014312,0,29,2,0,0,0.036539
BDSU004,,5,24,none,1,3,4,0,1,0,3,4,0,2837,5,0.300813,0.363514,0.033841,0.000715,0.311582,0.016446,0,18,2,0,0,0.354744
BDSU005,,7,79,landstat,0,4,4,1,0,0,4,4,1,7023,7,0.263514,0.342979,0,0,0.191842,0.004484,0,30,3,0,0,0
BDSU006,,5,61,none,1,0,1,0,1,0,0,1,0,2132,0,0,0,0,0.010854,0,0.00693,0,19,1,0,0.009091,0.015349
BDSU007,,2,85,none,1,0,1,0,1,0,0,1,0,1845,0,0,0,0,0.053288,0,0.007605,0,14,2,0,0,0.191549
BDSU008,,4,83,landstat,4,2,6,1,3,0,2,5,1,8023,6,0.276119,0.323874,0.036464,0.115741,0.121628,0.027864,0,18,3,0,0,0.319586
BDSU009,,5,57,landsal,5,2,7,0,4,1,1,5,1,3844,7,0.217647,0.247555,0.006244,0.22293,0.034674,0.021354,0,18,3,0,0,0.410883
BDSU010,,4,53,none,3,2,5,0,3,0,2,5,0,4406,7,0.23125,0.28565,0.066517,0.005667,0.002801,0.02294,0,18,4,0,0,0.58937
BDSU011,,8,43,salstat,2,5,7,1,2,1,5,7,0,5093,7,0.286822,0.390798,0.069791,0.007507,0.300858,0.02311,0,18,0,0,0.02381,0.407678
BDSU012,,4,65,land,3,1,4,0,3,0,1,4,1,2884,9,0.187817,0.228904,0.00974,0.065577,0.004083,0.009552,0,18,0,0,0,0.190435
BDSU013,,8,60,none,0,2,2,0,0,0,2,2,0,6084,7,0.258503,0.319987,0,0,0.021818,0.004484,0,34,0,0,0,0
BDSU014,,3,42,land,1,0,1,0,1,0,0,1,1,1596,0,0,0,0,0.001147,0,0.007581,0,35,9,0,0,0.036539
BDSU015,,3,52,none,3,0,3,0,3,0,0,3,0,2236,0,0,0,0,0.068211,0,0.0136,0,7,5,0,0,0.772355
BDSU016,,4,45,landsal,1,2,3,0,1,1,2,3,1,4293,7,0.228571,0.284464,0.012821,0,0.002801,0.016651,0,29,2,0,0.166667,0.036539
BDSU017,,3,34,none,2,4,6,0,2,0,4,6,0,1652,3,0.521739,0.625,0.038767,0.060121,0.070302,0.014436,0,13,5,0,0.033333,0.50705
BDSU018,,5,30,none,3,3,6,0,3,0,3,6,0,1120,5,0.355769,0.415315,0.075952,0.183068,0.02281,0.024108,0,18,2,0,0.033333,0.582029
BDSU019,,5,27,none,3,0,3,0,3,0,0,3,0,960,0,0,0,0,0.043709,0,0.010647,0,27,4,0,0,0.035752
BDSU020,,4,68,none,5,1,6,0,4,0,1,5,0,1959,1,1,1,0.003497,0.249041,0.09005,0.021263,0,8,4,0,0,0.872127
BDSU021,,3,30,land,5,0,5,0,4,0,0,4,1,5765,0,0,0,0,0.30528,0,0.015238,0,15,6,0,0.083333,0.719642
BDSU022,,7,64,land,2,1,3,0,1,0,1,2,1,4244,1,1,1,0.000167,0.00487,0,0.00639,0,39,6,0,0,0.005053
BDSU023,,3,30,none,2,0,2,0,2,0,0,2,0,1865,0,0,0,0,0,0,0.013728,0,38,6,0,0,0.020402
BDSU024,,4,59,land,1,2,3,0,1,0,2,3,1,2959,8,0.19598,0.250183,0.005162,0.008572,0.014792,0.005755,0,28,4,0,0,0.005053
BDSU025,,4,35,none,0,3,3,0,0,0,3,3,0,2118,9,0.197248,0.2823,0,0,0.028613,0.004484,0,37,1,0,0,0
BDSU026,,4,55,land,2,2,4,0,1,0,2,3,1,1071,3,0.5,0.611111,0,0.036884,0.03427,0.007391,0,9,5,0,0.333333,0.339621
BDSU027,,5,65,land,0,1,1,0,0,0,1,1,1,3281,2,0.6,0.666667,0,0,0.00985,0.004484,0,42,0,0,0,0
BDSU028,,6,60,stat,0,6,6,1,0,0,4,4,0,5989,7,0.258065,0.34631,0,0,0.252798,0.004484,0,44,3,0,0,0
BDSU029,,3,55,land,3,5,8,0,3,0,4,7,1,2049,2,0.75,0.833333,0.020868,0.046181,0.123119,0.013678,0,9,5,0,0.071429,0.666408
BDSU030,,3,55,stat,0,1,1,1,0,0,1,1,0,1998,3,0.5,0.583333,0,0,0.027651,0.004484,0,45,4,0,0,0
BDSU031,,5,49,land,3,2,5,0,3,0,1,4,1,2988,1,1,1,0.00666,0.056839,0,0.050963,0,6,5,0,0,0.758409
BDSU032,,3,56,land,0,3,3,0,0,0,2,2,1,1486,2,0.666667,0.75,0,0,0.016255,0.004484,0,40,6,0,0,0
BDSU033,,3,40,none,1,2,3,0,1,0,1,2,0,3402,3,0.5,0.611111,0,0.024554,0.027651,0.013176,0,43,4,0,0,0.072464
BDSU034,,5,70,landsal,2,1,3,0,1,1,1,2,1,3503,1,1,1,0,0,0.017028,0.047766,0,6,5,0,0.083333,0.379666
BDSU035,,8,71,land,2,1,3,0,2,0,1,3,1,4715,1,1,1,0.000167,0.04939,0.029023,0.009566,0,24,6,0,0.166667,0.162208
BDSU036,,5,68,none,3,3,6,0,3,0,2,5,0,1055,6,0.276119,0.337387,0.09324,0.008512,0.002386,0.028143,0,18,2,0,0.05,0.665713
BDSU037,,2,45,none,3,0,3,0,2,0,0,2,0,2552,0,0,0,0,0.074349,0,0.010672,0,12,5,0,0,0.455006
BDSU038,,4,55,land,0,3,3,0,0,0,3,3,1,1660,9,0.194872,0.268933,0,0,0.041416,0.004484,0,46,0,0,0.166667,0
BDSU039,,3,60,land,2,0,2,0,2,0,0,2,1,3533,0,0,0,0,0.059041,0,0.007646,0,2,0,0,0,0.185382
BDSU040,,2,50,sal,0,0,0,0,0,1,0,0,0,1086,0,0,0,0,0,0,0.004484,1,47,7,1,0,0
BDSU041,,3,45,none,2,1,3,0,2,0,1,3,0,407,8,0.226994,0.280277,0.0164,0.013631,0.002249,0.013875,0,18,0,0,0.166667,0.126172
BDSU042,,6,76,none,0,2,2,0,0,0,2,2,0,3757,1,1,1,0,0,0.04114,0.004484,0,21,3,0,0,0
BDSU043,,5,35,none,1,0,1,0,1,0,0,1,0,2058,0,0,0,0,0.000839,0,0.014235,0,11,4,0,0,0.313673
BDSU044,,4,40,none,1,0,1,0,1,0,0,1,0,3647,0,0,0,0,0.090131,0,0.008413,0,17,0,0,0,0.227651
BDSU045,,4,35,none,3,0,3,0,3,0,0,3,0,3207,0,0,0,0,0.078368,0,0.008614,0,20,3,0,0,0.015159
BDSU046,,5,67,land,1,3,4,0,1,0,3,4,1,1429,2,0.8,0.875,0.0005,0.00431,0.116724,0.00639,0,33,4,0,0,0.005053
BDSU047,,5,46,none,0,2,2,0,0,0,2,2,0,4390,3,0.555556,0.666667,0,0,0.014385,0.004484,0,36,4,0,0,0
BDSU048,,6,60,none,2,0,2,0,2,0,0,2,0,2012,0,0,0,0,0.058958,0,0.008281,0,1,3,0,0,0.185382
BDSU049,,4,32,land,3,2,5,0,1,0,2,3,1,5429,8,0.187817,0.257239,0.005328,0.046633,0.035673,0.006375,0,18,0,0,0,0.180329
BDSU050,,7,45,none,3,6,9,0,2,0,5,7,0,1630,6,0.316239,0.407658,0.059565,0.007251,0.177877,0.018352,0,18,2,0,0,0.359797
BDSU051,,5,30,sal,1,1,2,0,1,1,1,2,0,1560,9,0.159363,0.191994,0.000167,0.000839,0,0.011562,0,29,2,0,0,0.036539
BDSU052,,2,56,none,0,1,1,0,0,0,1,1,0,1600,1,1,1,0,0,0,0.004484,0,49,6,0,0.083333,0
BDSU053,,4,28,none,2,0,2,0,2,0,0,2,0,1176,0,0,0,0,0.01826,0,0.008465,0,0,0,0,0,0.105579
BDSU054,,1,50,land,0,3,3,0,0,0,3,3,1,1779,7,0.251397,0.320053,0,0,0.005895,0.004484,0,50,9,0,0,0
BDSU055,,5,60,sal,2,4,6,0,2,1,4,6,0,3075,3,0.588235,0.683333,0.015401,0.002431,0.049582,0.014042,0,10,5,0,0,0.421676
BDSU056,,2,63,none,3,2,5,0,3,0,2,5,0,2368,8,0.23871,0.314093,0.022256,0.223335,0.002426,0.010319,0,18,3,0,0,0.237757
BDSU057,,5,45,landsal,3,2,5,0,3,1,2,5,1,1717,4,0.416667,0.508333,0.013653,0.045929,0.005689,0.012167,0,10,5,0,0,0.51248
BDSU058,,4,60,none,0,0,0,0,0,0,0,0,0,1686,0,0,0,0,0,0,0.004484,2,48,8,2,0,0
BDSU059,,2,50,none,1,3,4,0,1,0,2,3,0,1192,10,0.166667,0.248443,0.001499,0.008572,0.036232,0.005755,0,22,1,0,0,0.005053
BDSU060,,6,50,none,2,1,3,0,2,0,1,3,0,3627,1,1,1,0.005328,0.016558,0.029023,0.01264,0,5,5,0,0,0.51092
BDSU061,,4,60,sal,1,0,1,0,1,1,0,1,0,3222,0,0,0,0,0.010014,0,0.006115,0,31,9,0,0,0.015349
BDSU062,,4,48,salstat,5,4,9,1,4,1,4,8,0,2545,1,1,1,0.004329,0.055639,0.148611,0.014944,0,25,6,0,0.053571,0.190276
BDSU063,,1,65,none,4,0,4,0,3,0,0,3,0,1164,0,0,0,0,0.223151,0,0.018325,0,16,1,0,0.333333,0.873168
BDSU064,,6,37,land,1,3,4,0,1,0,2,3,1,1832,2,0.666667,0.75,0,0.044521,0.108123,0.00766,0,25,6,0,0.333333,0.157155
BDSU065,,3,44,salstat,5,6,11,1,3,1,5,8,0,2198,9,0.189744,0.31006,0.034882,0.110088,0.509498,0.019818,0,18,1,0,0,0.883464
BDSU066,,4,26,sal,5,3,8,0,4,1,2,6,0,1848,10,0.161572,0.23935,0.009699,0.439222,0.099831,0.018494,0,18,1,0,0.066667,1
BDSU067,,3,35,none,2,2,4,0,2,0,2,4,0,1359,6,0.256757,0.313596,0.028555,0.007426,0.159831,0.010057,0,23,9,0,0,0.062185
BDSU068,,3,56,none,0,5,5,0,0,0,4,4,0,449,11,0.145594,0.2469,0,0,0.41364,0.004484,0,51,1,0,0,0
BDSU069,,5,60,sal,2,6,8,0,2,1,2,4,0,1475,1,1,1,0.000333,0.032879,0.098929,0.012452,0,41,0,0,0.166667,0.055116
BDSU070,,4,32,sal,5,2,7,0,1,1,2,3,0,718,1,1,1,0,0.029637,0.0999,0.009777,0,41,0,0,0,0.054502
BDSU071,,1,80,none,0,3,3,0,0,0,3,3,0,1068,8,0.199074,0.277409,0,0,0.02528,0.004484,0,52,0,0,0,0
BDSU072,,5,28,none,5,0,5,0,5,0,0,5,0,2117,0,0,0,0,0.30059,0,0.036889,0,3,0,0,0,0.795825
BDSU073,,6,69,none,4,3,7,0,3,0,2,5,0,3085,2,0.75,0.833333,0.001332,0.0923,0.081963,0.02045,0,43,4,0,0,0.073692
BDSU074,,1,55,landstat,1,2,3,1,1,0,1,2,1,1608,9,0.164234,0.203439,0,0.001147,0,0.007581,0,53,9,0,0,0.036539
BDSU075,,7,59,landstat,2,3,5,1,1,0,3,4,1,3678,8,0.195652,0.264153,0.007326,0,0.003829,0.010929,0,53,9,0,0,0.036539
BDSU076,,1,50,land,1,3,4,0,1,0,3,4,1,1436,5,0.380952,0.491667,0.001832,0.001766,0.033428,0.005755,0,32,9,0,0,0.005053
BDSU077,,2,25,sal,4,3,7,0,4,1,3,7,0,1715,10,0.162281,0.252864,0.017358,0.417777,0.231412,0.017741,0,18,1,0,0.047619,0.698168
BDSU078,,5,53,land,4,0,4,0,4,0,0,4,1,3031,0,0,0,0,0.096878,0,0.028347,0,4,6,0,0.083333,0.565083
BDSU079,,4,48,none,3,2,5,0,3,0,2,5,0,2930,7,0.227027,0.29076,0.020396,0.010486,0.018893,0.010122,0,26,9,0,0.05,0.046645
